K,val_mse
125,1.5083671314641833e-05
126,1.5071525012899656e-05
127,1.5039841855468694e-05
128,1.5013735719549004e-05
129,1.5005441127868835e-05
130,1.4936343177396338e-05
131,1.491736293246504e-05
132,1.5023532796476502e-05
133,1.5011696632427629e-05
134,1.4991042917245068e-05
135,1.4988275324867573e-05
136,1.497694211138878e-05
137,1.4959852705942467e-05
138,1.4943186215532478e-05
139,1.495338074164465e-05
140,1.4938475032977294e-05
141,1.4921132788003888e-05
142,1.491138209530618e-05
143,1.4899262168910354e-05
144,1.488320867792936e-05
145,1.4872741303406656e-05
146,1.48533217725344e-05
147,1.4838979041087441e-05
148,1.4826202459516935e-05
149,1.4814243513683323e-05
150,1.4800246390223037e-05
151,1.4792351066716947e-05
152,1.4784966879233252e-05
153,1.4785565326747019e-05
154,1.4775186173210386e-05
155,1.4766739695915021e-05
156,1.475973658671137e-05
157,1.4748152352694888e-05
158,1.474136115575675e-05
159,1.4735061085957568e-05
160,1.473172778787557e-05
161,1.473865268053487e-05
162,1.4730922885064501e-05
163,1.4721593288413715e-05
164,1.471798987040529e-05
165,1.4708008166053332e-05
166,1.4697473488922697e-05
167,1.4693370758322999e-05
168,1.4689735508000012e-05
169,1.4690347597934306e-05
170,1.4681793800264131e-05
171,1.467385209252825e-05
172,1.4668688891106285e-05
173,1.4661050045106094e-05
174,1.4666971765109338e-05
175,1.4663667570857797e-05
176,1.4658387044619303e-05
177,1.4654297956440132e-05
178,1.4651404853793792e-05
179,1.4648073374701198e-05
180,1.4957752682676073e-05
181,1.4934657883713953e-05
182,1.493618492531823e-05
183,1.4928231394151226e-05
184,1.4920269677531905e-05
185,1.4926963558536954e-05
186,1.4922286936780438e-05
187,1.4920143257768359e-05
188,1.4909656783856917e-05
189,1.4896536413289141e-05
190,1.4891348655510228e-05
191,1.4876964087306987e-05
192,1.4878552065056283e-05
193,1.4871067833155394e-05
194,1.486017026763875e-05
195,1.4840655239822809e-05
196,1.4834270587016363e-05
197,1.4833468412689399e-05
198,1.4844799807178788e-05
199,1.4832588931312785e-05
200,1.4832565284450538e-05
201,1.4826416190771852e-05
202,1.4813977941230405e-05
203,1.480678838561289e-05
204,1.4797894436924253e-05
205,1.4798804841120727e-05
206,1.4790450222790241e-05
207,1.4783430742681958e-05
208,1.4775451745663304e-05
209,1.478150807088241e-05
210,1.4775742783967871e-05
211,1.4764591469429433e-05
212,1.4758374163648114e-05
213,1.4753582945559174e-05
214,1.474890268582385e-05
215,1.4745094631507527e-05
216,1.4733426723978482e-05
217,1.4741295672138222e-05
218,1.473926840844797e-05
219,1.4733675016032066e-05
220,1.4910938261891715e-05
221,1.4903402188792825e-05
222,1.4904202544130385e-05
223,1.4897120308887679e-05
224,1.4894213563820813e-05
225,1.488214184064418e-05
226,1.4870669474476017e-05
227,1.4873049622110557e-05
228,1.4864325748931151e-05
229,1.4857436326565221e-05
230,1.4853119864710607e-05
231,1.4840342373645399e-05
232,1.4840257790638134e-05
233,1.4832205124548636e-05
234,1.4825306607235689e-05
235,1.4814521819062065e-05
236,1.4807382285653148e-05
237,1.4807279512751848e-05
238,1.4797384210396558e-05
239,1.4782555808778852e-05
240,1.4779364391870331e-05
241,1.4766416825295892e-05
242,1.475728004152188e-05
243,1.4754383300896734e-05
244,1.4749747606401797e-05
245,1.4749633010069374e-05
246,1.4743871361133642e-05
247,1.4736127923242748e-05
248,1.4733662283106241e-05
249,1.4729656868439633e-05
250,1.4723600543220527e-05
251,1.471057203161763e-05
252,1.4710639334225561e-05
253,1.4708953131048474e-05
254,1.4701126019645017e-05
255,1.469573635404231e-05
256,1.4696689504489768e-05
257,1.4692523109260947e-05
258,1.4691202522953972e-05
259,1.4675614693260286e-05
260,1.4679470950795803e-05
261,1.4682946130051278e-05
262,1.467776655772468e-05
263,1.4674204066977836e-05
264,1.4666098650195636e-05
265,1.4654299775429536e-05
266,1.4657420251751319e-05
267,1.4660568922408856e-05
268,1.4646647287008818e-05
269,1.4637492313340772e-05
270,1.466037065256387e-05
271,1.4642350834037643e-05
272,1.4646872841694858e-05
273,1.4645269402535632e-05
274,1.4642380847362801e-05
275,1.4642818314314354e-05
276,1.463973785575945e-05
277,1.4644261682406068e-05
278,1.4638560969615355e-05
279,1.4630682926508598e-05
280,1.4633011232945137e-05
281,1.462197360524442e-05
282,1.4627230484620668e-05
283,1.4611305232392624e-05
284,1.4614819519920275e-05
285,1.4604076568502933e-05
286,1.4602061128243804e-05
287,1.459348186472198e-05
288,1.4591628314519767e-05
289,1.4592608749808278e-05
290,1.459453869756544e-05
291,1.4593048035749234e-05
292,1.4583726624550764e-05
293,1.4595517313864548e-05
294,1.4589830243494362e-05
295,1.4590595128538553e-05
296,1.4588046724384185e-05
297,1.458706447010627e-05
298,1.4582548828911968e-05
299,1.4580485185433645e-05
300,1.4576198736904189e-05
301,1.4590677892556414e-05
302,1.4589846614398994e-05
303,1.4585531971533783e-05
304,1.4582668882212602e-05
305,1.458468432247173e-05
306,1.4578550690202974e-05
307,1.457246435165871e-05
308,1.4573091903002933e-05
309,1.4570199709851295e-05
310,1.4571327483281493e-05
311,1.4573564840247855e-05
312,1.4570800885849167e-05
313,1.4571151950804051e-05
314,1.4566251593350898e-05
315,1.4566037862095982e-05
316,1.4563812328560743e-05
317,1.4565829587809276e-05
318,1.4565691344614606e-05
319,1.4561805983248632e-05
320,1.4558992916136049e-05
321,1.4559030205418821e-05
322,1.4547937098541297e-05
323,1.455275560147129e-05
324,1.4556403584720101e-05
325,1.4550948435498867e-05
326,1.4546895727107767e-05
327,1.4551284948538523e-05
328,1.4551548702002037e-05
329,1.455263281968655e-05
330,1.4552363609254826e-05
331,1.4548499166266993e-05
332,1.455567416996928e-05
333,1.4551799722539727e-05
334,1.4550107152899727e-05
335,1.4543974430125672e-05
336,1.4568956430593971e-05
337,1.457414691685699e-05
338,1.4570209714293014e-05
339,1.4568435290129855e-05
340,1.4569533959729597e-05
341,1.4566882782673929e-05
342,1.4566405297955498e-05
343,1.4562971045961604e-05
344,1.4572523468814325e-05
345,1.4570553503290284e-05
346,1.4565845958713908e-05
347,1.4563709555659443e-05
348,1.4569705854228232e-05
349,1.4570236999134067e-05
350,1.4566665413440205e-05
351,1.4569661288987845e-05
352,1.4573914086213335e-05
353,1.4570775419997517e-05
354,1.4568458936992101e-05
355,1.4570496205124073e-05
356,1.4568306141882204e-05
357,1.456259997212328e-05
358,1.4559323062712792e-05
359,1.4557543181581423e-05
360,1.4556496353179682e-05
361,1.4552118955180049e-05
362,1.4572800864698365e-05
363,1.4566586287401151e-05
364,1.4568835467798635e-05
365,1.456208156014327e-05
366,1.4563445802195929e-05
367,1.4556190762959886e-05
368,1.4559011106030084e-05
369,1.4559129340341315e-05
370,1.4552492757502478e-05
371,1.4550140804203693e-05
372,1.4550142623193096e-05
373,1.454609719075961e-05
374,1.4547532373399008e-05
375,1.4544507394020911e-05
376,1.4546719285135623e-05
377,1.4543375073117204e-05
378,1.4535756236000452e-05
379,1.4535803529724944e-05
380,1.4536009075527545e-05
381,1.4536326489178464e-05
382,1.455026722396724e-05
383,1.454611719964305e-05
384,1.4542390999849886e-05
385,1.4541178643412422e-05
386,1.4544751138600986e-05
387,1.4540656593453605e-05
388,1.4539139556291047e-05
389,1.4534691217704676e-05
390,1.4529186955769546e-05
391,1.4527570783684496e-05
392,1.4527619896398392e-05
393,1.4527276107401121e-05
394,1.4522517631121445e-05
395,1.451912430638913e-05
396,1.452093965781387e-05
397,1.4516350347548723e-05
398,1.4514986105496064e-05
399,1.4511416338791605e-05
400,1.4510011169477366e-05
401,1.4508716049022041e-05
402,1.4509910215565469e-05
403,1.4505915714835282e-05
404,1.4499051758321002e-05
405,1.4498174095933791e-05
406,1.4498160453513265e-05
407,1.4494784409180284e-05
408,1.4491080037259962e-05
409,1.449298724764958e-05
410,1.448962666472653e-05
411,1.4492304217128549e-05
412,1.449499268346699e-05
413,1.4493968592432793e-05
414,1.4496075891656801e-05
415,1.4493098206003197e-05
416,1.4494125025521498e-05
417,1.4491569345409516e-05
418,1.452897868148284e-05
419,1.452650576538872e-05
420,1.4524073776556179e-05
421,1.4520187505695503e-05
422,1.452038122806698e-05
423,1.4518350326397922e-05
424,1.4520031072606798e-05
425,1.4515164366457611e-05
426,1.4513398127746768e-05
427,1.45099256769754e-05
428,1.4514625945594162e-05
429,1.4515726434183307e-05
430,1.4509971151710488e-05
431,1.450906438549282e-05
432,1.4532161912939046e-05
433,1.4527794519381132e-05
434,1.4529051441058982e-05
435,1.4528536667057779e-05
436,1.4528699466609396e-05
437,1.4531007764162496e-05
438,1.4528135579894297e-05
439,1.4531606211676262e-05
440,1.4525607184623368e-05
441,1.451934986107517e-05
442,1.4524062862619758e-05
443,1.4519850992655847e-05
444,1.4520066542900167e-05
445,1.4521854609483853e-05
446,1.4519712749461178e-05
447,1.4521086995955557e-05
448,1.4516069313685875e-05
449,1.4511497283820063e-05
450,1.4514405847876333e-05
451,1.4508009371638764e-05
452,1.4520286640617996e-05
453,1.4523908248520456e-05
454,1.4518592251988593e-05
455,1.4515637303702533e-05
456,1.4516997907776386e-05
457,1.4519104297505692e-05
458,1.4516516785079148e-05
459,1.4514194845105521e-05
460,1.4529986401612405e-05
461,1.4527858184010256e-05
462,1.4529537111229729e-05
463,1.4527397070196457e-05
464,1.4527703569910955e-05
465,1.4524201105814427e-05
466,1.4522664969263133e-05
467,1.452078595320927e-05
468,1.452047854400007e-05
469,1.4518013813358266e-05
470,1.45157227962045e-05
471,1.4515258044411894e-05
472,1.4513135283777956e-05
473,1.4511594599753153e-05
474,1.45134144986514e-05
475,1.4510329492622986e-05
476,1.4511857443721965e-05
477,1.4506686056847684e-05
478,1.4506003026326653e-05
479,1.4510816072288435e-05
480,1.4509624634229112e-05
481,1.4509844731946941e-05
482,1.451133175578434e-05
483,1.4511759218294173e-05
484,1.4513162568619009e-05
485,1.4509952961816452e-05
486,1.4509365428239107e-05
487,1.4510248547594529e-05
488,1.4506330444419291e-05
489,1.4506129446090199e-05
490,1.450513445888646e-05
491,1.450522722734604e-05
492,1.4505763829220086e-05
493,1.450462696084287e-05
494,1.4506565094052348e-05
495,1.4503724742098711e-05
496,1.4502086742140818e-05
497,1.4499643839371856e-05
498,1.449895808036672e-05
499,1.4497951269731857e-05
500,1.4500233191938605e-05
501,1.4495862160401884e-05
502,1.4496471521852072e-05
503,1.449567025701981e-05
504,1.449821957066888e-05
505,1.4498309610644355e-05
506,1.4495099094347097e-05
507,1.4495369214273524e-05
508,1.4494839888357092e-05
509,1.4494204151560552e-05
510,1.4495121831714641e-05
511,1.4493293747364078e-05
512,1.4494165043288376e-05
513,1.4491543879557867e-05
514,1.4490876310446765e-05
515,1.4493224625766743e-05
516,1.4495014511339832e-05
517,1.4493624803435523e-05
518,1.449296178179793e-05
519,1.4489569366560318e-05
520,1.4487528460449539e-05
521,1.449080718884943e-05
522,1.4495142750092782e-05
523,1.4493200978904497e-05
524,1.4493581147689838e-05
525,1.4492036825686228e-05
526,1.4491329238808248e-05
527,1.4486807231151033e-05
528,1.4487545740848873e-05
529,1.4491044566966593e-05
530,1.448718012397876e-05
531,1.4488102351606358e-05
532,1.4494721654045861e-05
533,1.448989860364236e-05
534,1.4487848602584563e-05
535,1.4492876289295964e-05
536,1.4492134141619317e-05
537,1.4493917660729494e-05
538,1.4496802577923518e-05
539,1.449424871680094e-05
540,1.4491219189949334e-05
541,1.4495761206489988e-05
542,1.4493446542473976e-05
543,1.4498572454613168e-05
544,1.4498746168101206e-05
545,1.4496586118184496e-05
546,1.449772753403522e-05
547,1.4495549294224475e-05
548,1.4493592971120961e-05
549,1.4493636626866646e-05
550,1.4492477930616587e-05
551,1.4491421097773127e-05
552,1.4491769434243906e-05
553,1.4495071809506044e-05
554,1.4489438399323262e-05
555,1.4489515706372913e-05
556,1.4493776689050719e-05
557,1.449098090233747e-05
558,1.4495404684566893e-05
559,1.4497248230327386e-05
560,1.4501773875963408e-05
561,1.4505413673759904e-05
562,1.4498641576210503e-05
563,1.4503563761536498e-05
564,1.4503627426165622e-05
565,1.4501239093078766e-05
566,1.4498197742796037e-05
567,1.449737283110153e-05
568,1.4500831639452372e-05
569,1.449778847018024e-05
570,1.4497012671199627e-05
571,1.449726551072672e-05
572,1.4498946256935596e-05
573,1.4501914847642183e-05
574,1.4499704775516875e-05
575,1.4498277778329793e-05
576,1.4500152246910147e-05
577,1.4501689292956144e-05
578,1.4497697520710062e-05
579,1.4499719327432103e-05
580,1.449816863896558e-05
581,1.4495066352537833e-05
582,1.4495703908323776e-05
583,1.4491646652459167e-05
584,1.4491424735751934e-05
585,1.4492535228782799e-05
586,1.4491767615254503e-05
587,1.4488789020106196e-05
588,1.4487659427686594e-05
589,1.4487167391052935e-05
590,1.4485647625406273e-05
591,1.4488712622551247e-05
592,1.4487550288322382e-05
593,1.4488028682535514e-05
594,1.4493382877844851e-05
595,1.449092997063417e-05
596,1.4494289644062519e-05
597,1.449548562959535e-05
598,1.4495994037133642e-05
599,1.4492304217128549e-05
600,1.4490640751319006e-05
601,1.449768114980543e-05
602,1.4493914022750687e-05
603,1.449981027690228e-05
604,1.4500998076982796e-05
605,1.4499682947644033e-05
606,1.44968444146798e-05
607,1.4497531083179638e-05
608,1.449588580726413e-05
609,1.4498338714474812e-05
610,1.4498968084808439e-05
611,1.4500493307423312e-05
612,1.449465980840614e-05
613,1.4495111827272922e-05
614,1.449414685339434e-05
615,1.4495036339212675e-05
616,1.4495948562398553e-05
617,1.4496166841126978e-05
618,1.4492945410893299e-05
619,1.4492610716843046e-05
620,1.4491693946183659e-05
621,1.4488979104498867e-05
622,1.4489745808532462e-05
623,1.4488655324385036e-05
624,1.4490866306005046e-05
625,1.4489874047285412e-05
626,1.4488296073977835e-05
627,1.4487767657556105e-05
628,1.4486307009065058e-05
629,1.4487478438240942e-05
630,1.4485021893051453e-05
631,1.4486307009065058e-05
632,1.448370676371269e-05
633,1.4484239727607928e-05
634,1.4482902770396322e-05
635,1.4481131074717268e-05
636,1.4482283404504415e-05
637,1.448502553103026e-05
638,1.4484995517705102e-05
639,1.4485473002423532e-05
640,1.4481647667707875e-05
641,1.4482269762083888e-05
642,1.4485863175650593e-05
643,1.4482970073004253e-05
644,1.448132661607815e-05
645,1.448543571314076e-05
646,1.44877139973687e-05
647,1.4485871361102909e-05
648,1.448814418836264e-05
649,1.4489969544229098e-05
650,1.4490523426502477e-05
651,1.4488809028989635e-05
652,1.4492238733510021e-05
653,1.4492343325400725e-05
654,1.4494935385300778e-05
655,1.4492365153273568e-05
656,1.4493488379230257e-05
657,1.4494747119897511e-05
658,1.4491310139419511e-05
659,1.4492816262645647e-05
660,1.4492131413135212e-05
661,1.4490008652501274e-05
662,1.4492973605229054e-05
663,1.4491640285996255e-05
664,1.449217143090209e-05
665,1.4492879927274771e-05
666,1.4491157344309613e-05
667,1.4489290151686873e-05
668,1.4490145986201242e-05
669,1.4487957741948776e-05
670,1.4486741747532506e-05
671,1.4487864973489195e-05
672,1.4486078725894913e-05
673,1.4492333320959006e-05
674,1.4490408830170054e-05
675,1.4489193745248485e-05
676,1.4491860383714084e-05
677,1.4490691683022305e-05
678,1.4486930012935773e-05
679,1.4484079656540416e-05
680,1.4488043234450743e-05
681,1.4484437087958213e-05
682,1.4483141058008187e-05
683,1.4479576748271938e-05
684,1.4478555385721847e-05
685,1.4480525351245888e-05
686,1.448521015845472e-05
687,1.44853538586176e-05
688,1.4484293387795333e-05
689,1.4483429367828649e-05
690,1.4484191524388734e-05
691,1.4483935046882834e-05
692,1.4485643077932764e-05
693,1.448432249162579e-05
694,1.448583134333603e-05
695,1.4484704479400534e-05
696,1.4484027815342415e-05
697,1.4489066415990237e-05
698,1.448686725780135e-05
699,1.4486280633718707e-05
700,1.4485294741461985e-05
701,1.4488017768599093e-05
702,1.449072988179978e-05
703,1.4501934856525622e-05
704,1.4497992196993437e-05
705,1.449923001928255e-05
706,1.4502130397886503e-05
707,1.4501548321277369e-05
708,1.4497903066512663e-05
709,1.4500293218588922e-05
710,1.4498245946015231e-05
711,1.450236959499307e-05
712,1.4502968042506836e-05
713,1.4499918506771792e-05
714,1.4498998098133598e-05
715,1.44993073263322e-05
716,1.4499237295240164e-05
717,1.4498636119242292e-05
718,1.4497382835543249e-05
719,1.4502958038065117e-05
720,1.4498133168672211e-05
721,1.4498677046503872e-05
722,1.44949981404352e-05
723,1.4491672118310817e-05
724,1.4490072317130398e-05
725,1.4492659829556942e-05
726,1.449321825930383e-05
727,1.4494728930003475e-05
728,1.4490909961750731e-05
729,1.4493309208774008e-05
730,1.4492193258774932e-05
731,1.4494190509140026e-05
732,1.4491402907879092e-05
733,1.449291539756814e-05
734,1.4492045011138543e-05
735,1.4490235116682015e-05
736,1.4483154700428713e-05
737,1.4488793567579705e-05
738,1.448686725780135e-05
739,1.4487272892438341e-05
740,1.4485984138445929e-05
741,1.4487673070107121e-05
742,1.4488219676422887e-05
743,1.4486136024061125e-05
744,1.4486650798062328e-05
745,1.4488615306618158e-05
746,1.4484692655969411e-05
747,1.4486199688690249e-05
748,1.4486618965747766e-05
749,1.4487476619251538e-05
750,1.4486314285022672e-05
751,1.4487365660897922e-05
752,1.4484892744803801e-05
753,1.448354851163458e-05
754,1.4483136510534678e-05
755,1.4485914107353892e-05
756,1.4483824088529218e-05
757,1.4482919141300954e-05
758,1.4484786333923694e-05
759,1.4484391613223124e-05
760,1.4485099200101104e-05
761,1.4484638995782007e-05
762,1.4486340660369024e-05
763,1.4483580343949143e-05
764,1.448439979867544e-05
765,1.4486546206171624e-05
766,1.4488438864646014e-05
767,1.448970397177618e-05
768,1.449052979296539e-05
769,1.4489003660855815e-05
770,1.449070441594813e-05
771,1.4490082321572118e-05
772,1.4489290151686873e-05
