Architecture,RMSE_micro,MAE_micro,Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Correlation
Dim=1 (Baseline),0.0025117213,0.0007304971,0.5305172496496242,0.3413426,0.0002647148,0.0013304494,0.8833448418673742
Dim=5,0.0023587958,0.0006758454,0.5051101555700992,0.29226735,0.00023068016,0.0012492418,0.8966864668928327
Dim=6,0.0023095685,0.0006695513,0.5194067153230298,0.28447425,0.0002120057,0.0012588943,0.899830358005561
Dim=8,0.0022853257,0.00066129334,0.5094492021801794,0.28105077,0.00021344544,0.0012381452,0.9027417050736705
Dim=10,0.002236911,0.0006537039,0.5053417866305915,0.2787093,0.00021155927,0.0012232094,0.906205873428915
Dim=12,0.0023159923,0.00067050726,0.5067448358837064,0.28835884,0.00022230584,0.0012478144,0.9000220621054107
Dim=15,0.0023167168,0.00068087055,0.5099922514385414,0.29773983,0.00023204954,0.001258976,0.9000101359178597
Dim=20,0.0023429035,0.00068242056,0.4948473003495868,0.3002563,0.0002418698,0.0012498732,0.8986309620953619
