Model,RMSE_micro,MAE_micro,Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Correlation
Baseline (Latent + MLP),0.00239660372143629,0.0006572004602877667,0.5275065968973448,0.30664413649161154,0.00020473188860423651,0.0012400038905004702,0.8898718357753045
Latent-as-Input,0.0022697089180889383,0.0006421286240873689,0.49002754179840474,0.29287329016490193,0.00019370191431154383,0.0012197259225780568,0.9018392340772582
