Architecture,RMSE_micro,MAE_micro,Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Correlation
Baseline (No Location Embedding),0.007473728657035553,0.002047005456873253,0.6463169349152168,0.6853866814272944,0.001347990613336399,0.0027252200967707112,0.6213797925917548
SatCLIP (256D),0.007602817506260799,0.001962719195089494,0.7025889802376102,0.6759538959423815,0.0009611551707054325,0.0029344802247908215,0.6119900165829097
RANGE (1280D),0.0077547170965595906,0.002000124862870922,0.6985415106933336,0.6877186242287129,0.0010089596225376259,0.0029617965394697077,0.5933068656798575
GeoCLIP (512D),0.007628061372357966,0.001980531770096989,0.6599262436532668,0.6745825535447622,0.001010474810422729,0.002921723273637378,0.6093433762145608
