Model,RMSE_micro,MAE_micro,Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Correlation
MLP + Latent,0.0027990951,0.00078531954,0.5548564877105059,0.38358068,0.00031279278,0.001393959,0.8555459260362782
MLP (no taxonomy),0.0039229933,0.0010413188,0.7220713821232111,0.67153883,0.00038752268,0.0018834425,0.6724077252531059
MLP (with taxonomy),0.0028608295,0.0008725134,0.6071280254419226,0.4928702,0.00033885337,0.0015598957,0.8416717630203808
