Variant,init_std,warmup,RMSE,MAE,Correlation,KL Divergence,Final latent ratio,Final ablation Δ
"A: warmup=20, init_std=0.0",0.0,20,0.002323414897546172,0.0006998373428359628,0.8991092443466187,0.3183087706565857,2.9145424981174894,0.4553349018096924
"B: warmup=0, init_std=0.0",0.0,0,0.0023164355661720037,0.0006824403535574675,0.899087131023407,0.30674365162849426,3.213934341875672,0.46687960624694824
"C: warmup=0, init_std=0.01",0.01,0,0.0023127086460590363,0.0006946970825083554,0.8999772071838379,0.31485897302627563,3.0169716949561227,0.45778942108154297
"D: warmup=0, init_std=0.05",0.05,0,0.0023132155183702707,0.0006956439465284348,0.9001195430755615,0.31480950117111206,3.0081270717264545,0.45818257331848145
