Architecture,RMSE_micro,MAE_micro,Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Correlation
Baseline (Additive),0.0023732663056818017,0.0006771835863722327,0.5083954798630943,0.2941416127170934,0.00021262487272027695,0.0012755597583219806,0.8933420754518031
Dot Product,0.0032245109565414163,0.0007030236834186026,0.4889219714410426,0.32886927257845366,0.00025187312340393915,0.0012841294449538597,0.8056920929000392
Exponential,0.003299249218581398,0.0006744498169134257,0.5214435405384137,0.29256263487678863,0.0001654143142029522,0.0013301144434661179,0.7941379353290151
Scaled Exponential,0.00231356488637963,0.0006314983430456992,0.5027372640414222,0.27468947756269935,0.00018434579593715523,0.0012074544526901052,0.8979735585044972
Additive (1+h),0.002601498539310444,0.0006389390258543295,0.4944879329906177,0.2763107159726791,0.00017934106948736382,0.0012309254802787527,0.8688157272046012
Softplus,0.0022883383757196464,0.0006371892150314676,0.5206069746776181,0.27601932936726603,0.00018134185539341868,0.001224344702675537,0.9001319889272525
Tanh,0.0023147740411550346,0.0006387457463514213,0.5241539790298828,0.2886261770925139,0.00017944736392013806,0.001230346333716242,0.8977758368916546
Sigmoid,0.0022946458073372024,0.0006267452885921895,0.5152444283395704,0.2839196145324562,0.00017378076024455276,0.0012101875371961959,0.899563320691782
