K,RMSE_micro,MAE_micro,Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Correlation
K=13,0.0026001849,0.00076864206,0.5185622093237648,0.38960475,0.00029874436,0.0013738952,0.8696795317697453
K=972,0.0025738485,0.0007649099,0.5167620270889459,0.3864314,0.00029696614,0.0013676462,0.8722913936713922
