Model,RMSE_micro,MAE_micro,Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Correlation
Baseline,0.002449894616410784,0.0006615263554608426,0.520141984528454,0.3031692866721135,0.00022034386741531163,0.0012297927135551006,0.8846813684925084
Interpolated Latent,0.0027906995030234044,0.0007983623038799942,0.5807825824359888,0.3936365475434761,0.00028991965960203036,0.001453263297443081,0.859774002207134
