Architecture,RMSE_micro,MAE_micro,Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Correlation
Dim=1 (Baseline),0.002457968621898716,0.0006869303499530334,0.503397347550683,0.3078909625060484,0.00022283107958034307,0.001284714734680637,0.8846907731448892
Dim=2,0.002441839542406185,0.0006546370554948341,0.5407704424160241,0.2867441515184889,0.00017268162617313347,0.0012754211165252269,0.8861558712064954
Dim=5,0.0023430078547125653,0.0006490836221058542,0.5474756261576101,0.2686745593693435,0.0001721121052514271,0.0012634481405125473,0.896600394975355
Dim=10,0.002421694644948843,0.0006409709508856592,0.537049620911818,0.27549986271147775,0.00016767353276267693,0.0012506030359751411,0.8885690582789761
Dim=20,0.0022834907726537253,0.0006259198922654925,0.5301112018929557,0.2663441576534038,0.00016220092829625837,0.0012232144222488397,0.9014090281364718
Dim=50,0.0023148324915761697,0.0006324398586664842,0.5233323877213849,0.267111161311373,0.0001637295729590151,0.001236163474806059,0.8980521728998409
