Loss Function,RMSE_micro,MAE_micro,Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Correlation
Cross-Entropy,0.0025873831,0.00076811307,0.518914328807601,0.3899183,0.00029865874,0.001372795,0.8709425009391035
Logistic (BCE),0.0038776116,0.001039546,0.8055436594124471,0.75389636,0.00040525646,0.0018565444,0.7391467944599583
