Architecture,RMSE_micro,MAE_micro,Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Correlation
Dim=1 (Baseline),0.0025117213,0.0007304971,0.5305172496496242,0.3413426,0.0002647148,0.0013304494,0.8833448418673742
Dim=2,0.0022522581,0.00067135826,0.5207263509163714,0.29419953,0.00022677552,0.0012440044,0.904938878414984
Dim=5,0.0023587958,0.0006758454,0.5051101555700992,0.29226735,0.00023068016,0.0012492418,0.8966864668928327
Dim=10,0.002236911,0.0006537039,0.5053417866305915,0.2787093,0.00021155927,0.0012232094,0.906205873428915
Dim=20,0.0023429035,0.00068242056,0.4948473003495868,0.3002563,0.0002418698,0.0012498732,0.8986309620953619
Dim=50,0.0023315775,0.0006809134,0.48719313919595975,0.30110547,0.00024731082,0.0012394165,0.9000693665161948
