Model,MAE (macro),MAE (micro),Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),R²,R² (log + 1)
Baseline,0.0007676820873952791,0.0006869303499530334,0.503397347550683,0.3078909625060484,0.00022283107958034307,0.001284714734680637,0.7810601818907799,0.7742413706492591
Dot Product,0.0008861494417433584,0.0007628291555592464,0.5827743487159697,0.38713553769462206,0.00028417070577502294,0.0013793665327224407,-0.4751016367770349,-0.15570170775468184
Exp,0.0007442554081279509,0.0006684153012482991,0.5515625801816965,0.29632154100845354,0.000169194853189579,0.0013114376187507,0.7365944780222261,0.7411641144465595
Scaled Exp,0.0007442895610186189,0.0006696421059507068,0.5568679897332119,0.2876218745059136,0.00018432994724526495,0.0012947498118076586,0.7833938804359168,0.7794167563037043
Additive,0.0007266749370786143,0.0006479807193100145,0.5359842488518397,0.280244657850505,0.0001690081581527689,0.0012649226885203095,0.7778541165924572,0.7745784490000849
Softplus,0.0007335247332250005,0.0006606785886116069,0.5634623171256294,0.27455526864506397,0.00016935277066044909,0.0012935322053580004,0.7865345560237107,0.7815058547806668
Tanh,0.0006919872532884485,0.0006232467180417928,0.5194876664625303,0.2642753535896812,0.00016143552085958162,0.001218083943590965,0.8164707603434891,0.8098508567265816
Sigmoid,0.0006939355661518392,0.0006234321383448981,0.518809784287685,0.26504957089121933,0.0001602338351347854,0.0012200560297571197,0.8072974880672938,0.8013435327843998
