Model,RMSE_micro,MAE_micro,Absolute Relative Error,KL Divergence,MAE (zeros),MAE (non-zeros),Correlation
Baseline,0.002449894616410784,0.0006615263554608426,0.520141984528454,0.3031692866721135,0.00022034386741531163,0.0012297927135551006,0.8846813684925084
Interpolated Latent,0.004342079460620183,0.0007566827868913324,0.5335314107023056,0.385253293406036,0.0002701209660678075,0.0013834001235925127,0.6875698948098634
