,mse,rmse,mae,r2
train,1.8273400739480595e-06,0.0013517914313783985,0.0003513797006615963,0.9232862575710626
val,1.624820776992062e-05,0.004030906569237325,0.001114216158371022,0.3931776170892022
test,2.3611598818261122e-05,0.004859176763430316,0.001104138715968287,0.49825473558494515
